,movie_title,year,place,star_cast,rating,vote,link
231, Las uvas de la ira,1940,232,"John Ford (dir.), Henry Fonda, Jane Darwell",8.029790464019438,,/title/tt0032551/
232, La leyenda del indomable,1967,233,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.028968627728752,,/title/tt0061512/
233, Ser o no ser,1942,234,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.028149424285411,,/title/tt0035446/
234, Amores perros,2000,235,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.027400187130494,,/title/tt0245712/
235, La batalla de Argel,1966,236,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.027385965298201,,/title/tt0058946/
236, Piratas del Caribe: La maldición de la Perla Negra,2003,237,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.027219071988858,,/title/tt0325980/
237, Sonrisas y lágrimas,1965,238,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.02366897975403,,/title/tt0059742/
238, La vida de Brian,1979,239,"Terry Jones (dir.), Graham Chapman, John Cleese",8.022528389233578,,/title/tt0079470/
239, Los cuatrocientos golpes,1959,240,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.022035233327857,,/title/tt0053198/
240, Persona,1966,241,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.021421972297752,,/title/tt0060827/
241, Sucedió una noche,1934,242,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.020532330374001,,/title/tt0025316/
242, El odio,1995,243,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.019332329641383,,/title/tt0113247/
243, Aladdín,1992,244,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.018673497978103,,/title/tt0103639/
244, Jai Bhim,2021,245,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.017855315116304,,/title/tt15097216/
245, La bella y la bestia,1991,246,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.017477946534775,,/title/tt0101414/
246, Gandhi,1982,247,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.015616729970288,,/title/tt0083987/
247, Criadas y señoras,2011,248,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.01482280406514,,/title/tt1454029/
248, La doncella,2016,249,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.012687350410939,,/title/tt4016934/
249, Donnie Darko,2001,250,"Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone",8.008990936981084,,/title/tt0246578/
